"","_id","CIVIC_CENTRE","DEATH_LICENSES","PLACE_OF_DEATH","TIME_PERIOD"
"538",24205,"SC",61,"Outside City Limits","2018-04"
"539",24206,"SC",347,"Toronto","2018-04"
"540",24207,"ET",216,"Outside City Limits","2018-05"
"541",24208,"ET",459,"Toronto","2018-05"
"542",24209,"NY",140,"Outside City Limits","2018-05"
"543",24210,"NY",492,"Toronto","2018-05"
"544",24211,"SC",108,"Outside City Limits","2018-05"
"545",24212,"SC",494,"Toronto","2018-05"
"546",24213,"ET",88,"Outside City Limits","2018-06"
"547",24214,"ET",377,"Toronto","2018-06"
"548",24215,"NY",31,"Outside City Limits","2018-06"
"549",24216,"NY",194,"Toronto","2018-06"
"550",24217,"SC",82,"Outside City Limits","2018-06"
"551",24218,"SC",513,"Toronto","2018-06"
"552",24219,"ET",117,"Outside City Limits","2018-07"
"553",24220,"ET",327,"Toronto","2018-07"
"554",24221,"NY",125,"Outside City Limits","2018-07"
"555",24222,"NY",348,"Toronto","2018-07"
"556",24223,"SC",72,"Outside City Limits","2018-07"
"557",24224,"SC",522,"Toronto","2018-07"
"558",24225,"ET",81,"Outside City Limits","2018-08"
"559",24226,"ET",220,"Toronto","2018-08"
"560",24227,"NY",26,"Outside City Limits","2018-08"
"561",24228,"NY",183,"Toronto","2018-08"
"562",24229,"SC",70,"Outside City Limits","2018-08"
"563",24230,"SC",406,"Toronto","2018-08"
"564",24231,"ET",157,"Outside City Limits","2018-09"
"565",24232,"ET",373,"Toronto","2018-09"
"566",24233,"NY",101,"Outside City Limits","2018-09"
"567",24234,"NY",285,"Toronto","2018-09"
"568",24235,"SC",133,"Outside City Limits","2018-09"
"569",24236,"SC",582,"Toronto","2018-09"
"570",24237,"ET",170,"Outside City Limits","2018-10"
"571",24238,"ET",573,"Toronto","2018-10"
"572",24239,"NY",37,"Outside City Limits","2018-10"
"573",24240,"NY",214,"Toronto","2018-10"
"574",24241,"SC",80,"Outside City Limits","2018-10"
"575",24242,"SC",592,"Toronto","2018-10"
"576",24243,"ET",175,"Outside City Limits","2018-11"
"577",24244,"ET",510,"Toronto","2018-11"
"578",24245,"NY",63,"Outside City Limits","2018-11"
"579",24246,"NY",343,"Toronto","2018-11"
"580",24247,"SC",101,"Outside City Limits","2018-11"
"581",24248,"SC",425,"Toronto","2018-11"
"582",24249,"ET",85,"Outside City Limits","2018-12"
"583",24250,"ET",144,"Toronto","2018-12"
"584",24251,"NY",89,"Outside City Limits","2018-12"
"585",24252,"NY",287,"Toronto","2018-12"
"586",24253,"SC",73,"Outside City Limits","2018-12"
"587",24254,"SC",433,"Toronto","2018-12"
"588",24255,"ET",199,"Outside City Limits","2019-01"
"589",24256,"ET",612,"Toronto","2019-01"
"590",24257,"NY",122,"Outside City Limits","2019-01"
"591",24258,"NY",455,"Toronto","2019-01"
"592",24259,"SC",105,"Outside City Limits","2019-01"
"593",24260,"SC",505,"Toronto","2019-01"
"594",24261,"ET",189,"Outside City Limits","2019-02"
"595",24262,"ET",573,"Toronto","2019-02"
"596",24263,"NY",80,"Outside City Limits","2019-02"
"597",24264,"NY",328,"Toronto","2019-02"
"598",24265,"SC",84,"Outside City Limits","2019-02"
"599",24266,"SC",379,"Toronto","2019-02"
"600",24267,"ET",152,"Outside City Limits","2019-03"
"601",24268,"ET",555,"Toronto","2019-03"
"602",24269,"NY",68,"Outside City Limits","2019-03"
"603",24270,"NY",344,"Toronto","2019-03"
"604",24271,"SC",97,"Outside City Limits","2019-03"
"605",24272,"SC",433,"Toronto","2019-03"
"606",24273,"ET",111,"Outside City Limits","2019-04"
"607",24274,"ET",347,"Toronto","2019-04"
"608",24275,"NY",54,"Outside City Limits","2019-04"
"609",24276,"NY",253,"Toronto","2019-04"
"610",24277,"SC",136,"Outside City Limits","2019-04"
"611",24278,"SC",522,"Toronto","2019-04"
"612",24279,"ET",205,"Outside City Limits","2019-05"
"613",24280,"ET",407,"Toronto","2019-05"
"614",24281,"NY",43,"Outside City Limits","2019-05"
"615",24282,"NY",268,"Toronto","2019-05"
"616",24283,"SC",118,"Outside City Limits","2019-05"
"617",24284,"SC",678,"Toronto","2019-05"
"618",24285,"ET",73,"Outside City Limits","2019-06"
"619",24286,"ET",164,"Toronto","2019-06"
"620",24287,"NY",133,"Outside City Limits","2019-06"
"621",24288,"NY",395,"Toronto","2019-06"
"622",24289,"SC",77,"Outside City Limits","2019-06"
"623",24290,"SC",465,"Toronto","2019-06"
"624",24291,"ET",157,"Outside City Limits","2019-07"
"625",24292,"ET",256,"Toronto","2019-07"
"626",24293,"NY",69,"Outside City Limits","2019-07"
"627",24294,"NY",316,"Toronto","2019-07"
"628",24295,"SC",155,"Outside City Limits","2019-07"
"629",24296,"SC",704,"Toronto","2019-07"
"630",24297,"ET",93,"Outside City Limits","2019-08"
"631",24298,"ET",242,"Toronto","2019-08"
"632",24299,"NY",89,"Outside City Limits","2019-08"
"633",24300,"NY",316,"Toronto","2019-08"
"634",24301,"SC",107,"Outside City Limits","2019-08"
"635",24302,"SC",432,"Toronto","2019-08"
"636",24303,"ET",140,"Outside City Limits","2019-09"
"637",24304,"ET",266,"Toronto","2019-09"
"638",24305,"NY",87,"Outside City Limits","2019-09"
"639",24306,"NY",312,"Toronto","2019-09"
"640",24307,"SC",106,"Outside City Limits","2019-09"
"641",24308,"SC",385,"Toronto","2019-09"
"642",24309,"ET",109,"Outside City Limits","2019-10"
"643",24310,"ET",306,"Toronto","2019-10"
"644",24311,"NY",59,"Outside City Limits","2019-10"
"645",24312,"NY",323,"Toronto","2019-10"
"646",24313,"SC",81,"Outside City Limits","2019-10"
"647",24314,"SC",509,"Toronto","2019-10"
"648",24315,"ET",155,"Outside City Limits","2019-11"
"649",24316,"ET",500,"Toronto","2019-11"
"650",24317,"NY",100,"Outside City Limits","2019-11"
"651",24318,"NY",277,"Toronto","2019-11"
"652",24319,"SC",135,"Outside City Limits","2019-11"
"653",24320,"SC",631,"Toronto","2019-11"
"654",24321,"TO",39,"Outside City Limits","2019-11"
"655",24322,"TO",178,"Toronto","2019-11"
"656",24323,"ET",154,"Outside City Limits","2019-12"
"657",24324,"ET",332,"Toronto","2019-12"
"658",24325,"NY",40,"Outside City Limits","2019-12"
"659",24326,"NY",124,"Toronto","2019-12"
"660",24327,"SC",125,"Outside City Limits","2019-12"
"661",24328,"SC",523,"Toronto","2019-12"
"662",24329,"ET",149,"Outside City Limits","2020-01"
"663",24330,"ET",416,"Toronto","2020-01"
"664",24331,"NY",86,"Outside City Limits","2020-01"
"665",24332,"NY",563,"Toronto","2020-01"
"666",24333,"SC",157,"Outside City Limits","2020-01"
"667",24334,"SC",557,"Toronto","2020-01"
"668",24335,"TO",46,"Outside City Limits","2020-01"
"669",24336,"TO",218,"Toronto","2020-01"
"670",24337,"ET",123,"Outside City Limits","2020-02"
"671",24338,"ET",313,"Toronto","2020-02"
"672",24339,"NY",61,"Outside City Limits","2020-02"
"673",24340,"NY",298,"Toronto","2020-02"
"674",24341,"SC",102,"Outside City Limits","2020-02"
"675",24342,"SC",282,"Toronto","2020-02"
"676",24343,"TO",58,"Outside City Limits","2020-02"
"677",24344,"TO",252,"Toronto","2020-02"
"678",24345,"ET",86,"Outside City Limits","2020-03"
"679",24346,"ET",269,"Toronto","2020-03"
"680",24347,"NY",30,"Outside City Limits","2020-03"
"681",24348,"NY",184,"Toronto","2020-03"
"682",24349,"SC",57,"Outside City Limits","2020-03"
"683",24350,"SC",232,"Toronto","2020-03"
"684",24351,"TO",9,"Outside City Limits","2020-03"
"685",24352,"TO",29,"Toronto","2020-03"
"686",24353,"SC",184,"Outside City Limits","2020-04"
"687",24354,"SC",662,"Toronto","2020-04"
"688",24355,"TO",1,"Toronto","2020-04"
"689",24356,"ET",239,"Outside City Limits","2020-05"
"690",24357,"ET",769,"Toronto","2020-05"
"691",24358,"NY",74,"Outside City Limits","2020-05"
"692",24359,"NY",356,"Toronto","2020-05"
"693",24360,"SC",393,"Outside City Limits","2020-05"
"694",24361,"SC",1455,"Toronto","2020-05"
"695",24362,"TO",14,"Outside City Limits","2020-05"
"696",24363,"TO",128,"Toronto","2020-05"
"697",24364,"ET",190,"Outside City Limits","2020-06"
"698",24365,"ET",567,"Toronto","2020-06"
"699",24366,"NY",32,"Outside City Limits","2020-06"
"700",24367,"NY",210,"Toronto","2020-06"
"701",24368,"SC",5,"Outside City Limits","2020-06"
"702",24369,"SC",29,"Toronto","2020-06"
"703",24370,"TO",61,"Outside City Limits","2020-06"
"704",24371,"TO",255,"Toronto","2020-06"
"705",24372,"ET",187,"Outside City Limits","2020-07"
"706",24373,"ET",647,"Toronto","2020-07"
"707",24374,"NY",24,"Outside City Limits","2020-07"
"708",24375,"NY",187,"Toronto","2020-07"
"709",24376,"TO",72,"Outside City Limits","2020-07"
"710",24377,"TO",272,"Toronto","2020-07"
"711",24378,"ET",186,"Outside City Limits","2020-08"
"712",24379,"ET",507,"Toronto","2020-08"
"713",24380,"NY",46,"Outside City Limits","2020-08"
"714",24381,"NY",200,"Toronto","2020-08"
"715",24382,"TO",12,"Outside City Limits","2020-08"
"716",24383,"TO",86,"Toronto","2020-08"
"717",24384,"ET",39,"Outside City Limits","2020-09"
"718",24385,"ET",194,"Toronto","2020-09"
"719",24386,"NY",1,"Outside City Limits","2020-09"
"720",24387,"NY",2,"Toronto","2020-09"
"721",24388,"SC",40,"Outside City Limits","2020-09"
"722",24389,"SC",140,"Toronto","2020-09"
"723",24390,"TO",156,"Outside City Limits","2020-09"
"724",24391,"TO",534,"Toronto","2020-09"
"725",24392,"ET",164,"Outside City Limits","2020-10"
"726",24393,"ET",375,"Toronto","2020-10"
"727",24394,"NY",1,"Outside City Limits","2020-10"
"728",24395,"NY",2,"Toronto","2020-10"
"729",24396,"SC",79,"Outside City Limits","2020-10"
"730",24397,"SC",162,"Toronto","2020-10"
"731",24398,"TO",220,"Outside City Limits","2020-10"
"732",24399,"TO",683,"Toronto","2020-10"
"733",24400,"ET",322,"Outside City Limits","2020-11"
"734",24401,"ET",1239,"Toronto","2020-11"
"735",24402,"NY",5,"Outside City Limits","2020-11"
"736",24403,"NY",24,"Toronto","2020-11"
"737",24404,"SC",12,"Outside City Limits","2020-11"
"738",24405,"SC",39,"Toronto","2020-11"
"739",24406,"TO",39,"Outside City Limits","2020-11"
"740",24407,"TO",147,"Toronto","2020-11"
"741",24408,"ET",171,"Outside City Limits","2020-12"
"742",24409,"ET",832,"Toronto","2020-12"
"743",24410,"SC",3,"Toronto","2020-12"
"744",24411,"TO",1,"Outside City Limits","2020-12"
"745",24412,"TO",16,"Toronto","2020-12"
"746",24413,"ET",405,"Outside City Limits","2021-01"
"747",24414,"ET",1712,"Toronto","2021-01"
"748",24415,"NY",1,"Outside City Limits","2021-01"
"749",24416,"NY",5,"Toronto","2021-01"
"750",24417,"TO",4,"Toronto","2021-01"
"751",24418,"ET",478,"Outside City Limits","2021-02"
"752",24419,"ET",1339,"Toronto","2021-02"
"753",24420,"TO",1,"Outside City Limits","2021-02"
"754",24421,"TO",1,"Toronto","2021-02"
"755",24422,"ET",377,"Outside City Limits","2021-03"
"756",24423,"ET",1489,"Toronto","2021-03"
"757",24424,"TO",1,"Toronto","2021-03"
"758",24425,"ET",426,"Outside City Limits","2021-04"
"759",24426,"ET",1304,"Toronto","2021-04"
"760",24427,"NY",1,"Toronto","2021-04"
"761",24428,"TO",1,"Toronto","2021-04"
"762",24429,"ET",653,"Outside City Limits","2021-05"
"763",24430,"ET",2007,"Toronto","2021-05"
"764",24431,"TO",1,"Toronto","2021-05"
"765",24432,"ET",146,"Outside City Limits","2021-06"
"766",24433,"ET",429,"Toronto","2021-06"
"767",24434,"ET",197,"Outside City Limits","2021-07"
"768",24435,"ET",879,"Toronto","2021-07"
"769",24436,"ET",290,"Outside City Limits","2021-08"
"770",24437,"ET",740,"Toronto","2021-08"
"771",24438,"TO",2,"Toronto","2021-08"
"772",24439,"ET",302,"Outside City Limits","2021-09"
"773",24440,"ET",1216,"Toronto","2021-09"
"774",24441,"TO",3,"Toronto","2021-09"
"775",24442,"ET",374,"Outside City Limits","2021-10"
"776",24443,"ET",1181,"Toronto","2021-10"
"777",24444,"ET",277,"Outside City Limits","2021-11"
"778",24445,"ET",909,"Toronto","2021-11"
"779",24446,"ET",193,"Outside City Limits","2021-12"
"780",24447,"ET",746,"Toronto","2021-12"
"781",24448,"ET",347,"Outside City Limits","2022-01"
"782",24449,"ET",1326,"Toronto","2022-01"
